sentence_id,title,origin_sentence,paragraph_text,query number,clean_sentence,tagger,status,label
707555,ME-10-09-31383-790," לטענת ב""כ הנאשם, עדותה של המתלוננת היא עדות כבושה משום שנמסרה שבוע לאחר האירוע הנטען","20. לטענת ב""כ הנאשם, עדותה של המתלוננת היא עדות כבושה משום שנמסרה שבוע לאחר האירוע הנטען. כמו כן, כאמור נטען שהמתלוננת הציגה הסברים סותרים לסיבת העיכוב בהגשת התלונה: ב""כ הנאשם הפנה לכך שבעדותה לפני חוקרת הילדים סיפרה המתלוננת כי רק בעקבות ההרצאה בבית הספר היא הבינה שהמעשים שעשה הנאשם הם אסורים. מכאן הסיק ב""כ הנאשם, שלפני כן היא לא הבינה שיש פסול במעשי הנאשם, ובוודאי לא חשבה שזו אשמתה או שפחדה. לעומת זאת, בבית המשפט העידה המתלוננת, לראשונה, שהיה ברור לה שמדובר במעשים אסורים ופסולים, אלא שהיא פחדה להתלונן.",14," לטענת ב""כ הנאשם, עדותה של המתלוננת היא עדות כבושה משום שנמסרה שבוע לאחר האירוע הנטען",tagger2,not annotated,
332450,ME-12-01-13327-55,"לגבי הנסיבות שאינן קשורות בביצוע העבירות, טענה המאשימה כי העובדה שהנאשם בחר לנהל את ההליך הפלילי הובילה לכך שלא נחסכה עדותם הקשה של המתלוננים הקטינים, שניכר היה בה כי הובילה לחוויה מחודשת של הטראומה שנגרמה להם","לגבי הנסיבות שאינן קשורות בביצוע העבירות, טענה המאשימה כי העובדה שהנאשם בחר לנהל את ההליך הפלילי הובילה לכך שלא נחסכה עדותם הקשה של המתלוננים הקטינים, שניכר היה בה כי הובילה לחוויה מחודשת של הטראומה שנגרמה להם. אמנם, לנאשם אין עבר פלילי, אך לאור ריבוי העבירות והתקופה הממושכת לארכה בוצעו המעשים, אין לדידי המאשימה מקום להעניק לעובדה זו משקל רב. כן נטען כי גילו ומצבו של הנאשם לא מנעו ממנו מלבצע את המעשים החמורים ומכאן שאין לתת משקל רב לטיעון זה. המאשימה אינה חולקת כי הנאשם אדם רב-זכויות ובעל מעמד בקהילתו, אלא שעובדה זו אינה יכולה לשמש משקל נגד לעבירות חמורות שבוצעו תוך ניצול מעמדו של הנאשם, ולהיפך, היא משקפת את גודל הסטייה שסטה הנאשם מן הנורמות המצופות מאדם בתפקידו ובמעמדו.",4,"לגבי הנסיבות שאינן קשורות בביצוע העבירות, טענה המאשימה כי העובדה שהנאשם בחר לנהל את ההליך הפלילי הובילה לכך שלא נחסכה עדותם הקשה של המתלוננים הקטינים, שניכר היה בה כי הובילה לחוויה מחודשת של הטראומה שנגרמה להם",tagger2,not annotated,
219527,ME-08-09-6759-2,"בסופו של יום, מדובר בעדות יחידה של המתלונן","בסופו של יום, מדובר בעדות יחידה של המתלונן. פרק הזמן הרב שחלף מעת ביצוע העבירות הנטענות ועד להגשת התלונה, הסתירות הפנימיות בעדותו של המתלונן, מימדי גופו לעומת מימדי גופו של הנאשם, העדר מממצאים חיצוניים המאששים את עדותו, העובדה שהמתלונן אובחן כסובל מהפרעות נפשיות בשלב מסוים בחייו, וכמי שסבל ממחשבות שוא, כשהם מצטרפים לעובדה שלא הוגשה חוות דעת פסיכיאטרית מטעם המאשימה והעדר מוחלט של ראיות חפציות תומכות, יש בהם כדי לעורר ספק סביר באשמתו של הנאשם באשר לביצוע העבירות המיוחסות לו בכתב האישום.",5,"בסופו של יום, מדובר בעדות יחידה של המתלונן",tagger2,not annotated,category1
142230,ME-13-07-36795-33,"גרסתו של הנאשם נבדקה על ידי ומצאתי לקבוע כי מדובר בגרסה בלתי אמינה שקרסה אל מול עדויות מהימנות של המתלוננות שעמדו ב""מכבש לחצים"" לא קל","גרסתו של הנאשם נבדקה על ידי ומצאתי לקבוע כי מדובר בגרסה בלתי אמינה שקרסה אל מול עדויות מהימנות של המתלוננות שעמדו ב""מכבש לחצים"" לא קל.",5,"גרסתו של הנאשם נבדקה על ידי ומצאתי לקבוע כי מדובר בגרסה בלתי אמינה שקרסה אל מול עדויות מהימנות של המתלוננות שעמדו ב""מכבש לחצים"" לא קל",tagger2,not annotated,category1
68595,ME-12-01-7451-55,"כאן באה עדותה העיקרית של המתלוננת, בנוגע לליבת המקרה","כאן באה עדותה העיקרית של המתלוננת, בנוגע לליבת המקרה.",12,"כאן באה עדותה העיקרית של המתלוננת, בנוגע לליבת המקרה",tagger2,not annotated,category1
859109,ME-08-09-7365-635," ב""כ הנאשם טען כי גרסתה של המתלוננת אינה מהימנה, נוכח העובדה שבעדותו של דרור בדבר התיאור שמסרה לו המתלוננת, אין תיאור של האקט המיני עצמו, וכן שעדותו של דרור אינה תואמת את הגרסה שמסרה בבית המשפט","109. ב""כ הנאשם טען כי גרסתה של המתלוננת אינה מהימנה, נוכח העובדה שבעדותו של דרור בדבר התיאור שמסרה לו המתלוננת, אין תיאור של האקט המיני עצמו, וכן שעדותו של דרור אינה תואמת את הגרסה שמסרה בבית המשפט. אין לקבל לדעתי גם טענה זו. ראשית, אבהיר כי עדותו של דרור הייתה מהימנה. העובדה שהמתלוננת אמרה לדרור בטלפון את המילה ""נאנסתי"", אך לא פירטה בפניו את עצם האקט המיני, אלא רק סיפרה לו על הדקות שלפניו ושלאחריו, אינה מלמדת דבר. אף בעדותה לפנינו התקשתה המתלוננת לדבר אודות האקט המיני עצמו. הקושי הוא ברור ומובן. יש להניח כי קושי זה היה קיים גם בעת שיחתה עם דרור. יחד עם זאת, משנתבקשה לפרט את הדברים בחקירתה במשטרה – עשתה זאת. באשר לחלקה השני של הטענה, אכן, התיאור שמסר דרור בנוגע לדברים ששמע מהמתלוננת באותו לילה -  אינו תואם בכל נקודה את התיאור שמסרה המתלוננת בעדותה (כך למשל, דרור לא הזכיר שלאחר שיחת הטלפון יצאה המתלוננת מהדירה וחזרה אליה, וכן כי שמע מהמתלוננת לדבריו שהנאשם בלם את הדלת). ואולם, כשם שלא ניתן לצפות מהמתלוננת לחזור על דבריה בדיוק מושלם בכל פעם שתידרש לסיפור המעשה, כך לא ניתן לצפות שתספר לדרור את אשר קרה לה – והוא יחזור על הדברים מאוחר יותר במהלך עדותו – באופן הזהה לחלוטין לתיאור שמסרה בעדותה (ראו  פלוני נ' מדינת ישראל, לא פורסם, 1.7.09, פסקה 33).",1," ב""כ הנאשם טען כי גרסתה של המתלוננת אינה מהימנה, נוכח העובדה שבעדותו של דרור בדבר התיאור שמסרה לו המתלוננת, אין תיאור של האקט המיני עצמו, וכן שעדותו של דרור אינה תואמת את הגרסה שמסרה בבית המשפט",tagger2,not annotated,
53473,s03001809-358,שוכנעתי כי עדות המתלוננת מהימנה ומשקפת את שאירע בפועל לגבי כל אחת מהעובדות המפורטות בכתב האישום ואף נתמכת במארג העדויות מטעם התביעה,שוכנעתי כי עדות המתלוננת מהימנה ומשקפת את שאירע בפועל לגבי כל אחת מהעובדות המפורטות בכתב האישום ואף נתמכת במארג העדויות מטעם התביעה.,7,שוכנעתי כי עדות המתלוננת מהימנה ומשקפת את שאירע בפועל לגבי כל אחת מהעובדות המפורטות בכתב האישום ואף נתמכת במארג העדויות מטעם התביעה,tagger2,not annotated,
320734,m05000838-507," כך באשר לעדותה של אמה של המתלוננת, כי בתה סיפרה לה על האירוע תוך כדי בכי; כך עדותו של ד', כי המתלוננת סיפרה לו שהנאשם נגע בה, וכך עדותו של הפסיכולוג על הטיפול שנתן למתלוננת בעקבות מצבה הנפשי","22. לעדותה האמינה של המתלוננת מצטרפות העדויות המהימנות עלינו, שהובאו על ידי המאשימה, לעניין מצבה הנפשי של המתלוננת בימים ובחודשים שלאחר האירוע. כך באשר לעדותה של אמה של המתלוננת, כי בתה סיפרה לה על האירוע תוך כדי בכי; כך עדותו של ד', כי המתלוננת סיפרה לו שהנאשם נגע בה, וכך עדותו של הפסיכולוג על הטיפול שנתן למתלוננת בעקבות מצבה הנפשי. אכן בידי הפסיכולוג, בעת עדותו בבית המשפט, לא היה תיעוד שרשם במהלך הטיפול במתלוננת, אך הוא נימק זאת בכך שאבד ולא מצאו לקראת הדיון. עם זאת ציין הפסיכולוג, כי בשעה שמסר את הודעתו במשטרה היו הרישומים עימו, ועל כך התבססה עדותו (שם, עמ' 38, ש' 4 ואילך).",5," כך באשר לעדותה של אמה של המתלוננת, כי בתה סיפרה לה על האירוע תוך כדי בכי; כך עדותו של ד', כי המתלוננת סיפרה לו שהנאשם נגע בה, וכך עדותו של הפסיכולוג על הטיפול שנתן למתלוננת בעקבות מצבה הנפשי",tagger2,not annotated,category1
199250,SH-11-11-50610-711,"בנדון דנן, התביעה הביאה ראיות ישירות הקושרות את הנאשם לעבירות המיוחסות לו, ובעיקרן עדויות המתלוננת, נינה ודוד, אשר היו מהימנות בעיני כמפורט לעיל","בנדון דנן, התביעה הביאה ראיות ישירות הקושרות את הנאשם לעבירות המיוחסות לו, ובעיקרן עדויות המתלוננת, נינה ודוד, אשר היו מהימנות בעיני כמפורט לעיל. במצב זה, גם הכחשתו הגורפת של הנאשם מחזקת את ראיות התביעה.",6,"בנדון דנן, התביעה הביאה ראיות ישירות הקושרות את הנאשם לעבירות המיוחסות לו, ובעיקרן עדויות המתלוננת, נינה ודוד, אשר היו מהימנות בעיני כמפורט לעיל",tagger2,not annotated,
368924,SH-13-02-47-54, אף צפיתי במלוא הקלטת של העדות המוקדמת של המתלוננת לפני כב' השופט שמעוני,"7. בפתח הדיון, אומר כי צפיתי במסדר זיהוי התמונות המצולם (ת/ 7) ובקלטת העימות שנערך בין המתלוננת לבין הנאשם (ת/ 12). אף צפיתי במלוא הקלטת של העדות המוקדמת של המתלוננת לפני כב' השופט שמעוני. עדותה של המתלוננת הותירה רושם אמין של אדם מאופק ומיושב בדעתו. עוד התרשמתי כי המתלוננת הקפידה לדייק בתשובותיה. כך למשל, המתלוננת השיבה בחקירה נגדית כי אינה זוכרת שהגבר שנכנס לדירתה לבש מעיל או ז'קט עור. זאת, על-אף שראתה כי הנאשם לבש מעיל עור בעימות שנערך מולה בתחנת המשטרה (עמ' 14 ש' 9-17 לפרוטוקול). דוגמה נוספת: המתלוננת השיבה בכנות שלא הרגישה שהגבר הזר נגע בה לפני שהתעוררה משנתה (עמ' 22 ש' 8-9 לפרוטוקול). אוסיף כי ניתן היה להבחין בנקל בתגובותיה הרגשיות של המתלוננת - הבכי וסערת הרגשות - כאשר זיהתה את הנאשם במסדר זיהוי תצלומי הפנים ובעימות, וכן כאשר תיארה את האירוע הטראומתי בעדותה המוקדמת בבית-המשפט. נוכח כל אלה, אני סבורה כי מדובר בעדה אמינה. אין לי ספק בדבר עצם קרות האירוע והטראומה שחוותה. כפי שצוין לעיל, אף ההגנה אינה חולקת על כך. זאת ועוד; אני סבורה כי המתלוננת היתה משוכנעת בכל ליבה כי זיהויה את הנאשם במסדר זיהוי התמונות וכן בעימות הינו זיהוי בטוח וודאי.",5, אף צפיתי במלוא הקלטת של העדות המוקדמת של המתלוננת לפני כב' השופט שמעוני,tagger2,not annotated,category1
