sentence_id,title,origin_sentence,paragraph_text,query number,clean_sentence,tagger,status
310798,ME-11-06-2577-640,"במוקד ראיות התביעה עומדת, כדבר מובן מאליו, עדותה היחידה של המתלוננת ובהתאם למידת האמון שיינתן בה, בסופו של יום, יקום וייפול דבר","במוקד ראיות התביעה עומדת, כדבר מובן מאליו, עדותה היחידה של המתלוננת ובהתאם למידת האמון שיינתן בה, בסופו של יום, יקום וייפול דבר.",12,"במוקד ראיות התביעה עומדת, כדבר מובן מאליו, עדותה היחידה של המתלוננת ובהתאם למידת האמון שיינתן בה, בסופו של יום, יקום וייפול דבר",tagger3,not annotated
829116,SH-07-4913-599," לדבריה, ניתן לראות כי עדותה של המתלוננת חסרת היגיון לכל אורכה, קרי: הגרסאות השונות אותן מסרה בת/2, בנ/5 ו-בנ/7","7.  סיכומי ההגנה: ב""כ הנאשם עתרה לזכות את הנאשם מהעבירה המיוחסת לו בכתב האישום. לדבריה, ניתן לראות כי עדותה של המתלוננת חסרת היגיון לכל אורכה, קרי: הגרסאות השונות אותן מסרה בת/2, בנ/5 ו-בנ/7. עוד הפנתה לנ/6 לפיו המתלוננת זומנה לעדות בתחנה ומסרה ""אבל אני עייפה"". כמו כן הפנתה לדבריה של המתלוננת בנ/7 לפיה מרוב שהייתה עצבנית על כך שהנאשם נגע בה היא לא חשבה לצעוק לעזרה כשלמעשה, דבריה אלה מנוגדים להתנהגותה התוקפנית והאגרסיבית במהלך העימות עם הנאשם. עוד טענה כי בעוד המתלוננת ניסתה לצמצם את הכרותה עם הנאשם ואת תדירות ביקוריה בחנותו, העידה עת/4 כי המתלוננת הייתה מגיעה עימה לחנותו. סתירה נוספת העולה מעדותה של המתלוננת עת העידה כי לאחר מעשה ""פשוט חזר אוטומט לדלפק לבפנים ולא אמר שום מילה"" שהרי, אם הנאשם חזר לעמוד מאחורי הדלפק משמע כי הוא יצא מאחורי הדלפק ולא נכנס לתוך החנות כשם שתיארה המתלוננת. עוד הפנתה למיקום של הדיסקים עליו הצביעה המתלוננת ולטעמה, המדובר במיקום המרוחק באופן משמעותי מהמקום בו מיקמה את עצמה. לכן, ניתן ללמוד מכך כי המתלוננת והנאשם עמדו אחד מול השני כאשר הנאשם עמד מצידו השני של הדלפק. בנוסף, טענה כי המתלוננת העידה לראשונה בביהמ""ש כי היא הייתה מבוהלת וקפאה במקומה ולטעמה, יש לראות בעדותה זו כעדות כבושה המחזקת את גרסתו של הנאשם לפיו היא ניסתה לשכנע אותו לרשום עבורה את הדיסק. לדידה, המתלוננת ניסתה להציג מצג לפיו הנאשם שלח אליה קרוב משפחה ואת סבתא שלה כשלמעשה, מעדותה של עת/4 עולה כי הסבתא סברה אחרת ואף המתלוננת לא מסרה שמות ולא דיווחה על כך לרשויות. באשר לעדותה של עת/4, סברה כי יש בה כדי לתרום לתהיות רבות אודות גרסת המתלוננת, ואף לא ברור מדוע בחרה המתלוננת להציג בפניה גרסה קיצונית לאירוע. עוד הוסיפה כי עדותו של הנאשם הייתה עקבית לכל אורכה והוא הסביר את הסיבות  להתנהגותה של המתלוננת. לדבריה, המדובר בשכונה בה מרוכזים רבים מבני הקהילה האתיופית. המדובר בקהילה סגורה המתקשה להבין את המשמעות של לא להעיד בביהמ""ש ואת חששם למסור את גרסתם ולהיות מעורבים בעניין. עוד הפנתה לחובת ההנמקה ולפסיקה בנושא.",1," לדבריה, ניתן לראות כי עדותה של המתלוננת חסרת היגיון לכל אורכה, קרי: הגרסאות השונות אותן מסרה בת/2, בנ/5 ו-בנ/7",tagger3,not annotated
588383,ME-10-02-20190-1,"  אמנם שיקר הנאשם בחקירותיו ובלתי אמין מצאתיו בעדותו ""הכבושה"", אך משלא שכנעה המאשימה, כפי חובתה ע""פ דין, כי גירסת המתלוננת אמינה ומהימנה מעבר לכל ספק סביר, לא ניתן להרשיעו","לגבי הנאשם, הרי שזה שיקר בחקירותיו ונמצא בלתי מהימן בעדותו. לגבי הדברים שמסר בחקירותיו במשטרה, הודה בעצמו כי שיקר ואין ספק כי עדותו הינה ""עדות כבושה"" שלא ניתן עליה הסבר סביר ומהימן. מובן כי בשל התנהגות הנאשם בחקירתו ובעדותו, ""רובץ לפתחו חטאת"" בדמות חשד כבד כי ביצע את העבירה המיוחסת לו. אך בחשד, אפילו כבד, לא די ושקרי הנאשם אינם יכולים להפוך את ה""אין"" ל""יש"" או להשלים את החסר בראיות מהימנות של המאשימה. אכן, לטענת המאשימה, לאור שקריו הרבים של הנאשם ומופרכות טענותיו, אין שום סיבה להעדיף את גירסתו על פני גירסתה של המתלוננת. אולם, אנו עוסקים במשפט פלילי בו לא די ""להעדיף"" את גירסת המתלוננת על פני זו של הנאשם כדי להרשיעו בדין. במשפט פלילי חובה מוטלת על שכם המאשימה לשכנע את ביהמ""ש, מעבר לכל ספק סביר, באשמת הנאשם, כדי להרשיעו בדין.  אמנם שיקר הנאשם בחקירותיו ובלתי אמין מצאתיו בעדותו ""הכבושה"", אך משלא שכנעה המאשימה, כפי חובתה ע""פ דין, כי גירסת המתלוננת אמינה ומהימנה מעבר לכל ספק סביר, לא ניתן להרשיעו.",3,"  אמנם שיקר הנאשם בחקירותיו ובלתי אמין מצאתיו בעדותו ""הכבושה"", אך משלא שכנעה המאשימה, כפי חובתה ע""פ דין, כי גירסת המתלוננת אמינה ומהימנה מעבר לכל ספק סביר, לא ניתן להרשיעו",tagger3,not annotated
508404,s00012094-286,"מקובלת עלי כמהימנה גרסת המתלוננת ששללה מכל וכל את אפיוני התנהגותו של הנאשם כלפיה, כפי שביקש לתארם ושאלו התבטאו, כמסתבר מעדותה, במעשי חיבוק ובאחיזה בה בניגוד לרצונה, תוך כדי ניסיון, אגב לנשקה אם בלחייה ואם בשפתיה, כשהדברים נעשים למרות מחאותיה ודבריה לנאשם כי יפסיק ויחדל מכך","מקובלת עלי כמהימנה גרסת המתלוננת ששללה מכל וכל את אפיוני התנהגותו של הנאשם כלפיה, כפי שביקש לתארם ושאלו התבטאו, כמסתבר מעדותה, במעשי חיבוק ובאחיזה בה בניגוד לרצונה, תוך כדי ניסיון, אגב לנשקה אם בלחייה ואם בשפתיה, כשהדברים נעשים למרות מחאותיה ודבריה לנאשם כי יפסיק ויחדל מכך. מנגד נמצא הנאשם, מתכחש בעדותו בביהמ""ש, כאמור, לאמירות ברורות שיצאו מפיו  בחקירתו במשטרה בדבר חיבוקים שחיבק ובדבר נגיעות שלהן לא התכחש שם, באופן שמעורר את הרושם כי מדובר בהכחשת שווא ובהסברים מאולצים, תוך היתממות מצד הנאשם שביקש לשוות להתנהגותו מימד תמים, כאמור. מסתבר כי מידה בלתי מבוטלת של תמימות היתה מנת חלקה של המתלוננת משציפתה כי התנגדותה תזכה לאוזן קשבת מצד הנאשם אך הוא לא שעה לה והמשיך בהתנהגות זו. מלבד זאת יש באמירות השונות של הנאשם כדי לשמש גיבוי וחיזוק לגרסתה הכוללת של המתלוננת בדבר אותם חיבוקים שאכן אירעו, כפי שתיארה אותם, שהיו מנת חלקה תדיר ושנשאו על פניהם גוון מיני, גם בשים לב לניסיונו החוזר ונשנה של הנאשם לנשקה, אגב כך, למרות בקשותיה לחדול מכך בקשות ופניות שלא השתמעו לשתי פנים, עד שהגיעה לכדי התפרצות, משלא יכלה עוד לשאת בהתנהגות הפוגעת והמשפילה של הנאשם. הנאשם ביקש בעדותו בביהמ""ש לנסות ולהתחמק ממשמעותם המכבידה של אמרות שיצאו מפיו בעת חקירתו ושעלולות להוות תמיכה לגרסת המתלוננת בטענות לפיהן לא הובן נכונה וכי הדברים לא נאמרו מפיו – אלא שגרסתו זו עומדת נוכח דברים שנרשמו מפיו, כמות שנאמרו, בחקירותיו ושהוגשו בהסכמה, ומשמעותן של אמירות אלו הינן הודאה בחלק ניכר מטענותיה של המתלוננת כלפיו, קרי, חיבוקים חוזרים ונשנים, שלא בהסכמתה.",3,"מקובלת עלי כמהימנה גרסת המתלוננת ששללה מכל וכל את אפיוני התנהגותו של הנאשם כלפיה, כפי שביקש לתארם ושאלו התבטאו, כמסתבר מעדותה, במעשי חיבוק ובאחיזה בה בניגוד לרצונה, תוך כדי ניסיון, אגב לנשקה אם בלחייה ואם בשפתיה, כשהדברים נעשים למרות מחאותיה ודבריה לנאשם כי יפסיק ויחדל מכך",tagger3,not annotated
359820,SH-12-215-459,"מהימנות גרסת המתלוננת: בפתח הדברים אציין כי המתלוננת, נערה צעירה אשר בעת שהעידה בפני טרם מלאו לה 17 שנים, הותירה בעדותה רושם חיובי ואמין","מהימנות גרסת המתלוננת: בפתח הדברים אציין כי המתלוננת, נערה צעירה אשר בעת שהעידה בפני טרם מלאו לה 17 שנים, הותירה בעדותה רושם חיובי ואמין. על אף הקשיים הטבעיים הכרוכים במתן עדות בנושאים בהם עסקינן, וודאי כשמדובר בנערה בגיל תיכון, היא מסרה עדות שוטפת, מפורטת מאד, בהירה ומדויקת והפגינה בדבריה נחישות רבה ואומץ לב. היא תיארה את השתלשלות העניינים מבלי להסתיר דבר, וידעה להבחין היטב בין השלבים הראשונים של האירוע, להם נתנה הסכמתה המלאה, לבין מעשיו המאוחרים יותר של הנאשם, במהלכם הפך העיסוי לפגיעה מינית מתמשכת. לא ניכר כל ניסיון להשחיר את פניו של הנאשם או להסתיר את העובדה לפיה הסכימה להגעתו של הנאשם לביתה ולביצוע העיסוי. היא מסרה תיאור מפורט, לרבות פרטים שוליים אשר הקנו לתיאוריה נופך אותנטי ושמרה לאורך כל הדרך על גרסה עקבית וקוהרנטית.",17,"מהימנות גרסת המתלוננת: בפתח הדברים אציין כי המתלוננת, נערה צעירה אשר בעת שהעידה בפני טרם מלאו לה 17 שנים, הותירה בעדותה רושם חיובי ואמין",tagger3,not annotated
774258,SH-18-01-42624-345,"בפנינו גרסה מידית נוספת של המתלוננת, ובכלל זה גרסה המלמדת על התנהגות קודמת של הנאשם כלפיה בעלת  נופך מיני","בפנינו גרסה מידית נוספת של המתלוננת, ובכלל זה גרסה המלמדת על התנהגות קודמת של הנאשם כלפיה בעלת  נופך מיני.",5,"בפנינו גרסה מידית נוספת של המתלוננת, ובכלל זה גרסה המלמדת על התנהגות קודמת של הנאשם כלפיה בעלת  נופך מיני",tagger3,not annotated
237318,m06003042-275,עדותה המפורטת של המתלוננת כוללת התייחסות למעשים שביצע הנאשם בע' כאשר המתלוננת עדה לנעשה בה,עדותה המפורטת של המתלוננת כוללת התייחסות למעשים שביצע הנאשם בע' כאשר המתלוננת עדה לנעשה בה.,5,עדותה המפורטת של המתלוננת כוללת התייחסות למעשים שביצע הנאשם בע' כאשר המתלוננת עדה לנעשה בה,tagger3,not annotated
662794,ME-11-06-51536-78,"ובענייננו: בנוסף לעדותה העקבית, הברורה והאמינה של המתלוננת ולפירוט מדוע ניתן להסתפק בעדות זו להרשעת הנאשם כמפורט להלן, יפורטו להלן גם ראיות חיצוניות בעלות משקל עצמאי משלהן, המחזקות את גירסת המתלוננת ונותנות לה משנה תוקף","ובענייננו: בנוסף לעדותה העקבית, הברורה והאמינה של המתלוננת ולפירוט מדוע ניתן להסתפק בעדות זו להרשעת הנאשם כמפורט להלן, יפורטו להלן גם ראיות חיצוניות בעלות משקל עצמאי משלהן, המחזקות את גירסת המתלוננת ונותנות לה משנה תוקף. ובנוסף – אי אמינות הנאשם, חוסר המהימנות של גירסתו, הסתירות, העדר הסבירות בגירסתו/גירסאותיו, וראשית הודייתו בחלקים מהנטען נגדו בכתב האישום, מהווים אף הם חיזוק לגירסת המתלוננת. כל אלה מגבשים תמונה מלאה, עקבית, ברורה ואמינה בדבר הוכחת אשמת הנאשם מעבר לספק סביר בעבירות שביצע (למעט העבירה דלעיל שממנה אציע לזכותו).",5,"ובענייננו: בנוסף לעדותה העקבית, הברורה והאמינה של המתלוננת ולפירוט מדוע ניתן להסתפק בעדות זו להרשעת הנאשם כמפורט להלן, יפורטו להלן גם ראיות חיצוניות בעלות משקל עצמאי משלהן, המחזקות את גירסת המתלוננת ונותנות לה משנה תוקף",tagger3,not annotated
432419,s04001906-255, עדותה של המתלוננת היתה בהירה וסדורה ועשתה רושם אמין על בית המשפט,7. עדותה של המתלוננת היתה בהירה וסדורה ועשתה רושם אמין על בית המשפט. למרות החקירה הנגדית הארוכה שנערכה לה שבה וחזרה על גרסתה.,1, עדותה של המתלוננת היתה בהירה וסדורה ועשתה רושם אמין על בית המשפט,tagger3,not annotated
563910,ME-08-1120-676,גרסת המתלוננת מעורפלת ובלתי בהירה,"גרסת המתלוננת מעורפלת ובלתי בהירה. ביחס לנאשם – אין בפיה גרסה של ממש. למעט ציון העובדה לפיה ""נגע"" בה הנאשם – התמונה נותרה עלומה, ללא פירוט הנסיבות; היכן נגע בה לכאורה, כיצד ומה קדם לנגיעה הנטענת. לא ניתן אפוא לבסס ממצא עובדתי על יסוד גרסת המתלוננת.",3,גרסת המתלוננת מעורפלת ובלתי בהירה,tagger3,not annotated
